Hotel ID;Facility ID;Nome
359;554;Oven
359;555;Fridge/Frezzer
359;556;Shower Gel
359;557;First Aid Kit
359;558;Microwave
359;559;Capsule Coffee Machine
359;560;Washer/Dryer Machine
359;561;Dishwasher
359;562;Ceramic Hob
359;563;Towels and Bed Linen
359;564;Kitchen Utensils
366;566;Coffee/Tea Machine
366;567;Trouser Press
366;568;Cosmetic Mirror
366;569;Scale
366;570;Iron and Ironing Board (on request)
366;571;Playground
366;572;Business Center
366;573;Luggage Storage
366;574;Pillow Menu
366;576;Bathrobe and Slippers
366;577;Sewing Service
366;578;Multilingual Reception Service
366;579;Video Surveillance
366;580;Living room
366;581;V.I.P. treatment (fruit basket, mineral water or oport wine)
366;582;Wellness Center: massages and beauty treatments
368;583;Chlorine free Swimmingpool
368;584;No ending time breakfast
368;585;Airport Transfer
368;586;Heated Floor
368;587;Offer of herbal tea and cookies from our production every night !
366;588;Exterior Lounge
367;589;Free Wi-Fi
367;590;Free Wi-Fi in public areas
367;592;TV
367;593;Dishwasher
367;594;Washing machine
376;596;Kitchen full-equipped
378;598;Internet Wi-Fi
378;599;Children’s playground
378;600;Refrigerator
378;601;Tea and coffee making facilities
375;602;Air conditioning
375;604;Complimentary high-speed wireless
375;606;Coffee machine
375;607;Storage room for luggage
375;608;DVD (upon request)
375;609;Iron and ironing board
375;611;Complimentary high-speed wireless
375;612;Kitchen full-equipped
375;613;Bath-amenities
375;614;Towels and bed linen
379;615;Kitchenette
379;616;Private bathroom
379;617;Children’s playground
376;618;Complimentary high-speed wireless
376;619;Cleaning service (upon request)
376;620;Storage room for luggage
376;621;Kitchen full-equipped
376;622;Iron and ironing board
376;623;Complimentary high-speed wireless
376;624;DVD (upon request)
376;625;Coffee machine
376;626;Bath-amenities
376;627;Cleaning service (upon request)
376;628;Towels and bed linen
374;629;Air conditioning
374;630;Kitchen full-equiped
374;631;Complimentary high speed wireless
374;633;Storage room for luggage
374;634;Kitchen full-equipped
374;635;Iron and ironing board
374;636;Complimentary high speed wireless
374;637;DVD (upon request)
374;638;Coffee machine
374;639;Bath-amenities
374;640;Cleaning service (upon request)
374;641;Towels and bed linen
358;642;Children's Playground
358;643;Private Bathroom
381;644;Terrace
381;645;Kitchenette
381;646;Seating Area
381;647;Children's Playground
383;648;Meeting/banquet facilities
383;649;Fax / photocopying
383;650;Luggage storage
383;651;Coffee machine
385;652;Spa
385;653;Fax / photocopying
385;654;Coffee machine
386;655;Spa
386;656;Children playground
386;657;Private Bathroom
389;658;Children's playground
389;659;Private Bathroom
348;660;Fully equipped kitchenette
348;662;kitchenette
347;664;Fully equipped kitchenette
391;666;Private Bathroom
389;667;Turkish Bath
389;668;Beach Towels OR
389;669;Sun Loungers
389;670;Terrace
389;671;Internal TV Channel
389;672;Green Area
389;673;Outdoor parking
389;674;Lobby
389;675;Reception
389;676;Free Wi-Fi
389;677;Convenience store
389;678;Mini Golf
389;679;Balcony
389;680;Dinning Table or Bench
389;681;Internal TV channel
389;682;Electric jug
389;683;Coffe Machine - Capsules.
389;684;Iron
389;685;Mini Food Processor
389;686;Living room
389;687;Microwave
389;688;Electric oven
389;689;Dish washing machine
389;690;Plate Induction
389;691;Refrigerator
390;692;Children's playground
392;693;Children's playground
390;695;kitchenette
394;696;Children's playground
394;697;kitchenette
339;698;Pool towels
339;699;Heated pool
395;701;Fully equipped kitchenettes
395;702;Fully equipped kitchenette
395;703;Cleanning Service (Housekeeping is offered daily. The replacement of bed sheets and towels is done i
339;704;facilities cafe e cha
396;705;Children's playground
396;706;Fully equipped kitchenette
397;707;Children's playground
397;708;Fully equipped kitchenette
399;710;Equipped kitchenette
399;711;Free Wi-fi
346;712;facilities cafe e cha
370;714;Fully equipped kitchen
370;715;2 Bathrooms
370;716;Private Terrace
370;717;Free Parking (subject to reservation and availability)
370;718;Heaters
370;719;Fans
370;720;Bed Linen and Towels provided
370;722;Refrigerator
370;723;Microwave
370;724;Dishwasher
370;725;Washing Machine
370;726;Electric Kettle
370;727;Oven
370;728;Stovetop
370;729;Coffee Machine
370;730;Dinning Area
370;731;Pets not allowed
370;732;Unit wheelchair accessible
370;733;Iron and ironing board
370;734;Cable Channels and flat screen TV
370;735;Sofa Bed
370;736;Non-Smoking throughout all areas
370;737;Free Parking (subject to reservation and availability)
370;738;Free Internet / Wi-Fi
370;739;Upper floors accessible by lift
370;740;1 Bathroom
370;741;1 Bathroom
370;742;Free Internet / Wi-Fi
370;743;Outdoor dining area
370;744;2 Bathrooms
370;745;Unit wheelchair accessible
370;746;Pets not allowed
370;747;Heaters
370;748;Fans
370;749;Dining Area
370;750;Outdoor dining area
370;751;Outdoor furniture
381;752;comodidades cha e cafe
400;753;Children's playground
400;754;Fully equipped kitchenette
54;755;Bilhar
399;756;Barbecue
399;757;Terrace
399;758;Iron & Ironing board
370;761;Non smoking throughout all areas
403;762;Desk
280;763;Parking place
403;764;Restaurant
370;765;Entire unit located on ground floor
412;766;Balcony + Pool View
412;767;Ground Floor
412;768;No view of Interest
419;769;Breakfast Included
313;770;Room for Disabled
428;771;Air Conditionning
428;772;Daily Maid Service
428;773;Free Wi-fi
428;774;Electric Kettle
428;775;Equipped Kitchenette
428;776;Hoven
428;777;Fridge/Freezer
428;778;Iron and ironing board
428;779;Microwave
428;780;Toaster
428;781;Coffee Maker (capsules)
428;782;First Aid Kit
428;783;Washer/dryer
428;784;Dishwasher Machine
428;785;Ceramic Hob
428;786;Towels & Sheets
428;787;Kitchen Utensils
253;864;Swimming Pool
253;865;Nespresso coffee machine
407;866;Nespresso coffee machine
407;867;Kettle
413;868;Slippers
413;870;Garden view
413;871;Patio
413;872;Hardwood/Parquet floors
413;873;Wardrobe/Closet
413;874;Bathrobe
413;875;Bathtub or shower
413;876;Mountain View
417;877;Twice weekly bed linen change
417;878;Daily towel change
417;879;Daily Cleaning
417;880;Fresh Homemade Breakfast
417;881;Reception Open 08:30am - 11:30pm
434;882;Bikes Available (free)
434;883;Children Welcome
434;884;Washing machine
434;885;Oven
434;886;Microwave
434;887;Coffee machine
434;888;Kettle
434;889;Free Rental Bike
434;890;Lift
434;891;No Lift
417;892;desk
417;893;Free Wifi in all public areas
417;894;Pool/Beach towels (deposit €20)
440;895;Common Kitchen
440;896;Common  Balneary
440;897;Common Bathroom
440;898;Common Porch
440;899;Common Living Room
332;900;Extra Bed
411;902;Weekly Towel & Linen Change (included)
441;903;Restaurant 1
444;904;Desk
332;905;bicycles
449;909;Sala de Estar e Refeições
453;912;Espaços para pessoas com Mobilidade Condicionada
290;921;Pets acept by request
290;922;Breakfast included
370;923;Airport Shuttle (additional cost)
