311;1723815;Portugal;Pendente;1429;TW - Quarto Twin Standard;Main Rate BB;2023-04-18 16:33:15.437;11/05/2023;12/05/2023;1;2;1;2;0;0;151.0581000000
311;1723814;Canadá;Registado;1407;DB - Quarto Duplo Standard;MR - Main Rate;2023-04-18 16:32:59.210;18/08/2023;19/08/2023;1;2;2;4;0;0;165.8700000000
311;1723812;Portugal;NãoRegistado;1429;TW - Quarto Twin Standard;Main Rate BB;2023-04-18 16:29:25.887;11/05/2023;12/05/2023;1;2;1;2;0;0;151.0581000000
426;1723809;Estados Unidos;Registado;1995;Duplo Standard - Cama de Casal;BAR;2023-04-18 16:27:36.917;06/08/2023;10/08/2023;4;1;1;1;0;0;400.0000000000
444;1723807;Espanha;Registado;2073;Duplo ;Normal;2023-04-18 16:25:32.623;23/06/2023;25/06/2023;2;2;2;4;0;0;480.0000000000
311;1723795;Canadá;Registado;1407;DB - Quarto Duplo Standard;MR - Main Rate;2023-04-18 16:14:44.167;11/08/2023;12/08/2023;1;1;2;2;0;0;82.9350000000
309;1723785;Espanha;Registado;1430;Quarto Twin Superior;MR - Main Rate;2023-04-18 16:01:55.787;18/04/2023;19/04/2023;1;1;1;1;0;0;67.5120000000
514;1723768;Reino Unido;Registado;2494;Pool Room;No Refundable;2023-04-18 15:46:27.430;28/04/2023;01/05/2023;3;1;1;1;0;0;432.0000000000
314;1723756;Alemanha;Cancelado;1428;Quarto Individual;Standard;2023-04-18 15:38:20.597;05/06/2023;06/06/2023;1;1;1;1;0;0;80.0000000000
311;1723739;Portugal;Modificada;2034;DBS - Quarto Duplo Superior;MR - Main Rate;2023-04-18 15:27:19.360;22/04/2023;23/04/2023;1;1;2;2;0;0;87.5425000000
478;1723719;Portugal;Registado;2231;Duplo (Cama de Casal);Não Reembolsável;2023-04-18 15:09:42.797;29/05/2023;31/05/2023;2;1;1;1;0;0;140.0000000000
535;1723696;Portugal;Pendente;2523;Quarto Duplo;WebSite;2023-04-18 14:52:14.450;13/06/2023;16/06/2023;3;1;2;2;0;0;216.0000000000
537;1723647;Portugal;Registado;2721;Alojamento Nisa;Não Reembolsável;2023-04-18 14:01:20.597;08/06/2023;11/06/2023;3;1;2;2;0;1;388.4999999998
392;1723629;Reino Unido;Registado;1801;QUARTO DUPLO OU TWIN ;Oferta Especial;2023-04-18 13:36:38.227;15/06/2023;22/06/2023;7;1;1;1;0;0;820.8295200000
311;1723624;Portugal;Registado;2034;DBS - Quarto Duplo Superior;MR - Main Rate;2023-04-18 13:31:03.677;19/04/2023;20/04/2023;1;1;2;2;0;0;87.5425000000
179;1723587;Suécia;Registado;630;Duplo  Comfort;INGENIARIUS;2023-04-18 12:42:03.827;25/09/2023;28/09/2023;3;2;1;2;0;0;840.0000000000
392;1723581;Holanda;Registado;1801;QUARTO DUPLO OU TWIN ;Epoca Normal ;2023-04-18 12:35:38.340;19/04/2023;20/04/2023;1;1;2;2;0;0;108.8728000000
304;1723580;Portugal;Registado;1909;101 - Duplo Superior;Tarifa Site;2023-04-18 12:34:00.187;18/04/2023;19/04/2023;1;1;2;2;0;0;69.0000000000
