284	51.18
328	52.85
522	56.74
560	57.54
283	58.35
20	59.43
309	59.61
433	60.54
516	64.96
285	65.37
310	66.61
320	66.61
403	67.36
493	67.61
503	67.94
561	69.72
335	73.47
319	74.3
304	75.49
314	75.85
492	76.31
349	78.09
494	78.44
539	78.6
526	80.74
556	80.87
490	82.62
478	82.63
535	82.97
546	83.4
321	84.62
366	86.13
322	86.18
287	87.86
400	89.37
311	89.61
442	89.75
511	90.96
395	96.81
415	97.97
302	98.45
391	98.6
404	99.82
269	101.36
426	102.71
504	103.86
416	104.22
421	104.67
453	106.63
327	108.33
399	110.29
378	110.78
414	112.55
332	112.71
501	114.76
392	115.7
465	119.62
444	124.6
238	125.55
482	126.53
54	128.09
413	129.76
514	133.45
280	136.11
537	137.91
44	137.97
559	139.41
368	145.27
495	147.01
179	151.5
356	153.16
259	156.63
483	160.55
558	163.94
491	166
389	169.11
273	172.65
185	176.65
390	182.19
241	203
49	214.91
379	216.27
313	233.17
225	235.01
443	237.41
513	250
445	252.59
358	263.39
